id,Name,27.03;00: count,27.03;01: count,27.03;02: count,27.03;03: count,27.03;04: count,27.03;05: count,27.03;06: count,27.03;07: count,27.03;08: count,27.03;09: count,27.03;10: count,27.03;11: count,27.03;12: count,27.03;13: count,27.03;14: count,27.03;15: count,27.03;16: count,27.03;17: count,27.03;18: count,27.03;19: count,27.03;20: count,27.03;21: count,27.03;22: count,27.03;23: count,28.03;00: count,28.03;01: count,28.03;02: count,28.03;03: count,28.03;04: count,28.03;05: count,28.03;06: count,28.03;07: count,28.03;08: count,28.03;09: count,28.03;10: count,28.03;11: count,28.03;12: count,28.03;13: count,28.03;14: count,28.03;15: count,28.03;16: count,28.03;17: count,28.03;18: count,28.03;19: count,28.03;20: count,28.03;21: count,28.03;22: count,28.03;23: count,29.03;00: count,29.03;01: count,29.03;02: count,29.03;03: count,29.03;04: count,29.03;05: count,29.03;06: count,29.03;07: count,29.03;08: count,29.03;09: count,29.03;10: count,29.03;11: count,29.03;12: count,29.03;13: count,29.03;14: count,29.03;15: count,29.03;16: count,29.03;17: count,29.03;18: count,29.03;19: count,29.03;20: count,29.03;21: count,29.03;22: count,29.03;23: count,30.03;00: count,30.03;01: count,30.03;02: count,30.03;03: count,30.03;04: count,30.03;05: count,30.03;06: count,30.03;07: count,30.03;08: count,30.03;09: count,30.03;10: count,30.03;11: count,30.03;12: count,30.03;13: count,30.03;14: count,30.03;15: count,30.03;16: count,30.03;17: count,30.03;18: count,30.03;19: count,30.03;20: count,30.03;21: count,30.03;22: count,30.03;23: count,31.03;00: count,31.03;01: count,31.03;02: count,31.03;03: count,31.03;04: count,31.03;05: count,31.03;06: count,31.03;07: count,31.03;08: count,31.03;09: count,31.03;10: count,31.03;11: count,31.03;12: count,31.03;13: count,31.03;14: count,31.03;15: count,31.03;16: count,31.03;17: count,31.03;18: count,31.03;19: count,31.03;20: count,31.03;21: count,31.03;22: count,31.03;23: count,01.04;00: count,01.04;01: count,01.04;02: count,01.04;03: count,01.04;04: count,01.04;05: count,01.04;06: count,01.04;07: count,01.04;08: count,01.04;09: count,01.04;10: count,01.04;11: count,01.04;12: count,01.04;13: count,01.04;14: count,01.04;15: count,01.04;16: count,01.04;17: count,01.04;18: count,01.04;19: count,01.04;20: count,01.04;21: count,01.04;22: count,01.04;23: count,02.04;00: count,02.04;01: count,02.04;02: count,02.04;03: count,02.04;04: count,02.04;05: count,02.04;06: count,02.04;07: count,02.04;08: count,02.04;09: count,02.04;10: count,02.04;11: count,02.04;12: count,02.04;13: count,27.03;00: %,27.03;01: %,27.03;02: %,27.03;03: %,27.03;04: %,27.03;05: %,27.03;06: %,27.03;07: %,27.03;08: %,27.03;09: %,27.03;10: %,27.03;11: %,27.03;12: %,27.03;13: %,27.03;14: %,27.03;15: %,27.03;16: %,27.03;17: %,27.03;18: %,27.03;19: %,27.03;20: %,27.03;21: %,27.03;22: %,27.03;23: %,28.03;00: %,28.03;01: %,28.03;02: %,28.03;03: %,28.03;04: %,28.03;05: %,28.03;06: %,28.03;07: %,28.03;08: %,28.03;09: %,28.03;10: %,28.03;11: %,28.03;12: %,28.03;13: %,28.03;14: %,28.03;15: %,28.03;16: %,28.03;17: %,28.03;18: %,28.03;19: %,28.03;20: %,28.03;21: %,28.03;22: %,28.03;23: %,29.03;00: %,29.03;01: %,29.03;02: %,29.03;03: %,29.03;04: %,29.03;05: %,29.03;06: %,29.03;07: %,29.03;08: %,29.03;09: %,29.03;10: %,29.03;11: %,29.03;12: %,29.03;13: %,29.03;14: %,29.03;15: %,29.03;16: %,29.03;17: %,29.03;18: %,29.03;19: %,29.03;20: %,29.03;21: %,29.03;22: %,29.03;23: %,30.03;00: %,30.03;01: %,30.03;02: %,30.03;03: %,30.03;04: %,30.03;05: %,30.03;06: %,30.03;07: %,30.03;08: %,30.03;09: %,30.03;10: %,30.03;11: %,30.03;12: %,30.03;13: %,30.03;14: %,30.03;15: %,30.03;16: %,30.03;17: %,30.03;18: %,30.03;19: %,30.03;20: %,30.03;21: %,30.03;22: %,30.03;23: %,31.03;00: %,31.03;01: %,31.03;02: %,31.03;03: %,31.03;04: %,31.03;05: %,31.03;06: %,31.03;07: %,31.03;08: %,31.03;09: %,31.03;10: %,31.03;11: %,31.03;12: %,31.03;13: %,31.03;14: %,31.03;15: %,31.03;16: %,31.03;17: %,31.03;18: %,31.03;19: %,31.03;20: %,31.03;21: %,31.03;22: %,31.03;23: %,01.04;00: %,01.04;01: %,01.04;02: %,01.04;03: %,01.04;04: %,01.04;05: %,01.04;06: %,01.04;07: %,01.04;08: %,01.04;09: %,01.04;10: %,01.04;11: %,01.04;12: %,01.04;13: %,01.04;14: %,01.04;15: %,01.04;16: %,01.04;17: %,01.04;18: %,01.04;19: %,01.04;20: %,01.04;21: %,01.04;22: %,01.04;23: %,02.04;00: %,02.04;01: %,02.04;02: %,02.04;03: %,02.04;04: %,02.04;05: %,02.04;06: %,02.04;07: %,02.04;08: %,02.04;09: %,02.04;10: %,02.04;11: %,02.04;12: %,02.04;13: %
storm,storm,0,1,0,0,1,0,6,3,2,5,4,4,5,3,4,3,3,6,4,6,4,28,8,8,8,4,2,1,0,0,2,5,11,18,5,9,7,13,14,3,5,9,9,13,12,8,6,4,5,1,2,3,2,4,6,9,4,11,15,18,16,22,17,18,11,12,4,8,8,16,7,5,5,0,0,5,0,2,0,2,6,7,3,2,2,5,0,6,8,9,14,10,23,23,29,53,22,22,12,11,5,14,17,16,23,12,12,13,24,16,20,22,22,19,15,19,12,23,7,5,2,1,0,3,0,6,4,2,5,7,5,6,6,3,4,3,3,7,8,12,6,11,5,5,2,2,1,0,0,2,1,2,3,1,8,7,6,4,0.0,33.3,0.0,0.0,50.0,0.0,54.5,23.1,16.7,41.7,44.4,36.4,33.3,60.0,33.3,60.0,23.1,40.0,30.8,31.6,44.4,90.3,44.4,72.7,66.7,80.0,66.7,20.0,0.0,0.0,10.0,17.9,27.5,36.0,22.7,28.1,31.8,56.5,58.3,20.0,33.3,52.9,42.9,43.3,54.5,50.0,33.3,44.4,45.5,100.0,28.6,30.0,33.3,36.4,24.0,31.0,22.2,36.7,45.5,40.0,40.0,46.8,38.6,29.5,25.0,27.3,20.0,34.8,30.8,53.3,87.5,62.5,38.5,0.0,0.0,83.3,0.0,40.0,0.0,22.2,42.9,46.7,27.3,15.4,33.3,38.5,0.0,40.0,42.1,40.9,36.8,25.6,33.8,48.9,42.6,50.5,46.8,53.7,29.3,39.3,18.5,29.8,26.6,29.1,46.9,26.1,26.1,30.2,33.3,23.2,35.1,32.8,34.4,38.8,34.9,44.2,37.5,53.5,46.7,55.6,66.7,100.0,0.0,60.0,0.0,40.0,22.2,33.3,33.3,33.3,33.3,20.7,21.4,23.1,44.4,16.7,30.0,35.0,47.1,52.2,37.5,68.8,83.3,38.5,66.7,50.0,50.0,0.0,0.0,40.0,12.5,16.7,27.3,33.3,57.1,46.7,40.0,44.4
wind,wind,0,0,0,0,1,0,1,1,0,2,0,1,0,0,1,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,9,8,12,8,3,7,7,2,3,9,2,1,4,2,0,1,4,1,1,0,1,2,1,2,7,8,3,5,7,10,7,8,16,12,14,13,4,4,6,5,0,1,3,0,0,0,3,1,3,1,2,2,2,2,2,1,3,1,4,6,8,11,13,11,18,29,14,12,17,8,14,18,29,20,19,25,16,12,20,26,16,15,13,15,11,9,8,13,3,3,0,0,0,1,4,3,2,0,3,7,3,11,9,4,0,6,1,2,4,1,3,0,0,1,0,0,0,1,0,0,3,2,1,0,0,0,1,0,0.0,0.0,0.0,0.0,50.0,0.0,9.1,7.7,0.0,16.7,0.0,9.1,0.0,0.0,8.3,20.0,7.7,0.0,7.7,5.3,11.1,3.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.6,30.0,16.0,13.6,21.9,31.8,8.7,12.5,60.0,13.3,5.9,19.0,6.7,0.0,6.3,22.2,11.1,9.1,0.0,14.3,20.0,16.7,18.2,28.0,27.6,16.7,16.7,21.2,22.2,17.5,17.0,36.4,19.7,31.8,29.5,20.0,17.4,23.1,16.7,0.0,12.5,23.1,0.0,0.0,0.0,50.0,20.0,37.5,11.1,14.3,13.3,18.2,15.4,33.3,7.7,30.0,6.7,21.1,27.3,21.1,28.2,19.1,23.4,26.5,27.6,29.8,29.3,41.5,28.6,51.9,38.3,45.3,36.4,38.8,54.3,34.8,27.9,27.8,37.7,28.1,22.4,20.3,30.6,25.6,20.9,25.0,30.2,20.0,33.3,0.0,0.0,0.0,20.0,44.4,20.0,11.1,0.0,20.0,33.3,20.0,37.9,32.1,30.8,0.0,33.3,10.0,10.0,23.5,4.3,18.8,0.0,0.0,7.7,0.0,0.0,0.0,33.3,0.0,0.0,37.5,16.7,9.1,0.0,0.0,0.0,6.7,0.0
rain,rain,0,0,0,0,0,0,2,3,0,1,1,1,1,0,0,1,1,0,1,3,1,1,1,0,1,0,0,1,0,0,3,7,3,16,6,4,3,3,4,1,5,2,2,2,2,0,0,0,1,0,1,3,1,2,5,5,5,7,5,9,7,8,4,10,6,2,3,4,3,1,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,1,2,3,4,4,5,3,6,4,7,12,5,5,4,2,0,2,4,3,3,2,6,5,5,6,5,5,6,3,4,3,1,2,0,0,0,0,1,0,0,1,4,0,1,2,2,0,1,0,0,2,0,1,0,1,1,1,0,2,0,0,0,1,1,0,1,3,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,23.1,0.0,8.3,11.1,9.1,6.7,0.0,0.0,20.0,7.7,0.0,7.7,15.8,11.1,3.2,5.6,0.0,8.3,0.0,0.0,20.0,0.0,0.0,15.0,25.0,7.5,32.0,27.3,12.5,13.6,13.0,16.7,6.7,33.3,11.8,9.5,6.7,9.1,0.0,0.0,0.0,9.1,0.0,14.3,30.0,16.7,18.2,20.0,17.2,27.8,23.3,15.2,20.0,17.5,17.0,9.1,16.4,13.6,4.5,15.0,17.4,11.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,14.3,0.0,0.0,7.7,0.0,7.7,20.0,20.0,21.1,18.2,13.2,7.7,8.8,8.5,10.3,11.4,10.6,12.2,9.8,7.1,0.0,4.3,6.3,5.5,6.1,4.3,13.0,11.6,6.9,8.7,8.8,7.5,9.4,6.1,9.3,7.0,3.1,4.7,0.0,0.0,0.0,0.0,50.0,0.0,0.0,6.7,22.2,0.0,6.7,9.5,13.3,0.0,3.6,0.0,0.0,11.1,0.0,5.0,0.0,4.3,6.3,6.3,0.0,15.4,0.0,0.0,0.0,33.3,50.0,0.0,12.5,25.0,0.0,0.0,0.0,20.0,0.0,0.0
snow,snow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,4,5,1,7,5,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,1.8,0.0,2.2,2.2,2.3,5.6,7.2,1.8,10.4,7.8,4.1,2.3,4.7,3.1,2.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,3.4,3.6,0.0,0.0,5.6,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0
hail,hail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,4,8,6,6,13,10,4,6,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.4,2.3,3.3,0.0,4.5,0.0,4.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.6,0.0,4.3,4.3,9.3,11.1,8.7,10.5,19.4,15.6,8.2,14.0,7.0,3.1,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,6.7,0.0,6.7,0.0,0.0,0.0,0.0,5.6,0.0,5.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.5,8.3,9.1,0.0,0.0,0.0,0.0,0.0
flood,flood,1,1,0,0,0,1,0,1,6,1,2,2,1,0,2,0,4,2,4,4,1,0,4,1,1,0,1,1,0,0,0,1,5,6,6,2,1,1,0,0,2,1,3,10,1,1,3,1,1,0,1,0,0,0,1,1,1,2,2,2,4,0,3,5,2,3,3,3,2,4,1,0,2,0,0,1,0,0,0,1,4,4,3,5,1,3,2,4,2,2,6,6,15,6,3,2,1,1,0,1,1,0,2,3,0,1,2,3,3,3,4,0,1,0,3,2,4,1,0,0,1,0,0,1,0,0,1,3,3,1,0,1,3,1,3,0,1,3,2,3,3,0,0,4,1,1,0,1,0,0,0,1,0,1,2,2,1,3,25.0,33.3,0.0,0.0,0.0,33.3,0.0,7.7,50.0,8.3,22.2,18.2,6.7,0.0,16.7,0.0,30.8,13.3,30.8,21.1,11.1,0.0,22.2,9.1,8.3,0.0,33.3,20.0,0.0,0.0,0.0,3.6,12.5,12.0,27.3,6.3,4.5,4.3,0.0,0.0,13.3,5.9,14.3,33.3,4.5,6.3,16.7,11.1,9.1,0.0,14.3,0.0,0.0,0.0,4.0,3.4,5.6,6.7,6.1,4.4,10.0,0.0,6.8,8.2,4.5,6.8,15.0,13.0,7.7,13.3,12.5,0.0,15.4,0.0,0.0,16.7,0.0,0.0,0.0,11.1,28.6,26.7,27.3,38.5,16.7,23.1,20.0,26.7,10.5,9.1,15.8,15.4,22.1,12.8,4.4,1.9,2.1,2.4,0.0,3.6,3.7,0.0,3.1,5.5,0.0,2.2,4.3,7.0,4.2,4.3,7.0,0.0,1.6,0.0,7.0,4.7,12.5,2.3,0.0,0.0,33.3,0.0,0.0,20.0,0.0,0.0,5.6,50.0,20.0,4.8,0.0,3.4,10.7,7.7,33.3,0.0,10.0,15.0,11.8,13.0,18.8,0.0,0.0,30.8,33.3,25.0,0.0,33.3,0.0,0.0,0.0,8.3,0.0,33.3,14.3,13.3,6.7,33.3
road,road,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,3,6,0,1,3,2,1,0,1,0,0,1,0,2,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,7,10,2,0,4,4,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6,2,0,5,1,0,1,5,3,5,5,6,3,1,1,0,0,1,3,1,2,2,4,0,2,5,0,1,0,0,0,0,0,4,2,1,0,0,0,2,7,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,16.7,0.0,7.7,6.7,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7,15.0,0.0,4.5,9.4,9.1,4.3,0.0,6.7,0.0,0.0,4.8,0.0,9.1,6.3,11.1,11.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.3,0.0,0.0,2.5,0.0,0.0,6.6,15.9,22.7,10.0,0.0,15.4,13.3,0.0,12.5,23.1,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,15.4,2.9,0.0,7.4,1.0,0.0,2.4,12.2,10.7,18.5,10.6,9.4,5.5,2.0,2.2,0.0,0.0,1.4,4.3,1.8,3.0,3.1,8.2,0.0,4.7,15.6,0.0,6.7,0.0,0.0,0.0,0.0,0.0,44.4,13.3,5.6,0.0,0.0,0.0,13.3,24.1,14.3,7.7,0.0,11.1,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collapse,collapse,1,0,1,0,0,1,0,2,2,1,0,2,3,1,1,0,1,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,4,2,3,2,1,0,1,0,0,1,5,0,1,2,1,0,1,1,1,3,0,1,0,2,0,0,0,1,0,3,1,0,0,0,0,3,0,1,1,1,1,0,1,0,0,0,1,1,3,0,2,3,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,1,1,0,1,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,3,1,0,2,1,2,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,25.0,0.0,100.0,0.0,0.0,33.3,0.0,15.4,16.7,8.3,0.0,18.2,20.0,20.0,8.3,0.0,7.7,6.7,0.0,0.0,11.1,0.0,5.6,9.1,16.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,4.3,0.0,6.7,0.0,5.9,0.0,3.3,18.2,12.5,16.7,22.2,9.1,0.0,14.3,0.0,0.0,9.1,20.0,0.0,5.6,6.7,3.0,0.0,2.5,2.1,2.3,4.9,0.0,2.3,0.0,8.7,0.0,0.0,0.0,12.5,0.0,75.0,100.0,0.0,0.0,0.0,0.0,33.3,0.0,6.7,9.1,7.7,16.7,0.0,10.0,0.0,0.0,0.0,2.6,2.6,4.4,0.0,2.9,2.9,2.1,0.0,2.4,0.0,0.0,2.1,0.0,0.0,0.0,2.2,0.0,4.7,0.0,1.4,0.0,1.5,1.6,0.0,2.3,4.7,0.0,2.3,0.0,11.1,0.0,0.0,0.0,0.0,11.1,0.0,5.6,16.7,0.0,0.0,0.0,0.0,3.6,23.1,11.1,0.0,20.0,5.0,11.8,4.3,0.0,6.3,16.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.1,0.0,0.0,6.7,20.0,0.0
ingury,ingury,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,8.3,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disrupt,disrupt,0,0,0,0,0,0,1,1,2,0,2,0,2,1,2,0,1,5,1,2,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,5,0,1,1,0,0,2,1,2,0,2,0,0,0,0,0,0,1,0,0,4,1,0,2,2,0,3,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,3,1,4,2,1,5,3,6,3,3,2,4,0,1,0,0,2,1,0,0,0,0,0,0,1,3,0,0,0,1,3,3,1,1,3,3,5,1,4,1,0,0,0,0,1,0,0,0,2,2,1,4,1,4,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,9.1,7.7,16.7,0.0,22.2,0.0,13.3,20.0,16.7,0.0,7.7,33.3,7.7,10.5,0.0,3.2,0.0,9.1,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.6,5.0,0.0,0.0,15.6,0.0,4.3,4.2,0.0,0.0,11.8,4.8,6.7,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,13.8,5.6,0.0,6.1,4.4,0.0,6.4,2.3,4.9,2.3,0.0,10.0,4.3,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,12.5,11.1,0.0,6.7,9.1,7.7,0.0,7.7,10.0,6.7,0.0,0.0,2.6,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.7,6.4,1.6,7.3,4.1,2.2,10.9,7.0,8.3,4.3,5.3,3.0,6.3,0.0,2.3,0.0,0.0,4.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,16.7,0.0,0.0,0.0,6.7,10.3,10.7,7.7,11.1,16.7,30.0,25.0,5.9,17.4,6.3,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,40.0,25.0,8.3,36.4,33.3,28.6,6.7,20.0,22.2
forecast,forecast,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,3,1,2,1,1,1,1,2,0,0,0,0,0,1,1,0,0,1,0,1,2,1,2,1,1,2,2,1,4,2,1,1,4,2,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,1,2,1,5,1,4,5,4,0,2,2,1,4,4,3,1,0,2,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,2,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.0,33.3,0.0,0.0,0.0,33.3,9.1,7.7,0.0,8.3,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,15.4,10.5,11.1,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.7,2.5,4.0,4.5,3.1,4.5,4.3,8.3,0.0,0.0,0.0,0.0,0.0,4.5,6.3,0.0,0.0,9.1,0.0,14.3,20.0,16.7,18.2,4.0,3.4,11.1,6.7,3.0,8.9,5.0,2.1,2.3,6.6,4.5,2.3,10.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.1,0.0,0.0,0.0,7.7,0.0,0.0,10.0,0.0,5.3,4.5,5.3,2.6,7.4,2.1,5.9,4.8,8.5,0.0,4.9,7.1,3.7,8.5,6.3,5.5,2.0,0.0,4.3,0.0,1.4,0.0,1.8,0.0,0.0,4.1,2.3,2.3,0.0,0.0,6.7,0.0,0.0,0.0,50.0,0.0,0.0,6.7,11.1,0.0,6.7,14.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,8.3,9.1,0.0,0.0,6.7,0.0,0.0
